,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
0,butaritari,100,KI,1555766324,77,82.68,3.07,172.79,12.17
1,menongue,19,AO,1555766617,39,84.48,-14.66,17.68,7.02
2,palana,31,RU,1555766617,87,30.84,59.08,159.95,14.94
3,deputatskiy,0,RU,1555766366,97,-0.12,69.3,139.9,3.31
4,kursavka,75,RU,1555763400,70,44.01,44.46,42.51,17.9
5,methoni,40,GR,1555766438,55,66.2,36.82,21.7,10.0
6,mataura,49,NZ,1555765804,96,46.99,-46.19,168.86,0.63
7,new norfolk,0,AU,1555766183,82,59.0,-42.78,147.06,5.82
8,suarez,90,CO,1555761600,100,68.0,4.05,-74.83,2.15
9,avera,90,US,1555766361,81,53.6,33.19,-82.53,10.29
10,talnakh,0,RU,1555761600,77,-0.41,69.49,88.39,11.18
11,ancud,90,CL,1555761600,93,44.6,-41.87,-73.83,3.36
12,ugoofaaru,100,MV,1555766618,73,85.56,5.67,73.0,13.67
13,port alfred,23,ZA,1555765617,71,69.01,-33.59,26.89,5.01
14,saint george,40,GR,1555765999,59,60.8,39.45,22.34,14.99
15,casablanca,40,MA,1555766109,59,69.8,33.6,-7.62,11.41
16,barrow,8,AR,1555766314,68,57.66,-38.31,-60.23,10.02
17,rikitea,35,PF,1555766310,80,78.54,-23.12,-134.97,15.39
18,ribeira grande,75,PT,1555763400,93,62.6,38.52,-28.7,9.17
19,sitka,0,US,1555766111,67,50.0,37.17,-99.65,9.62
20,hofn,71,IS,1555766357,80,33.0,64.25,-15.21,22.46
21,ushuaia,90,AR,1555761600,93,44.6,-54.81,-68.31,34.45
22,husavik,100,CA,1555766105,62,48.0,50.56,-96.99,5.93
23,bredasdorp,6,ZA,1555766241,60,68.0,-34.53,20.04,11.41
24,cabo san lucas,5,MX,1555766123,35,69.8,22.89,-109.91,9.17
25,severo-kurilsk,6,RU,1555766307,82,35.16,50.68,156.12,17.22
26,nouadhibou,0,MR,1555761600,36,77.0,20.93,-17.03,18.34
27,khatanga,0,RU,1555766319,94,2.76,71.98,102.47,8.61
28,atuona,73,PF,1555766313,75,83.04,-9.8,-139.03,11.01
